val_patch,neighbor_patch,dx,dy,iou,neighbor_final_split
patch_x11760_y9072,patch_x12096_y9408,336,336,0.1429,embargo
patch_x12096_y1680,patch_x12096_y1344,0,336,0.3333,embargo
patch_x12096_y1680,patch_x12432_y1344,336,336,0.1429,embargo
patch_x12096_y4368,patch_x11760_y4704,336,336,0.1429,embargo
patch_x12096_y4368,patch_x12096_y4704,0,336,0.3333,embargo
patch_x12096_y4368,patch_x12432_y4704,336,336,0.1429,embargo
patch_x12096_y9072,patch_x11760_y9408,336,336,0.1429,embargo
patch_x12096_y9072,patch_x12096_y9408,0,336,0.3333,embargo
patch_x12096_y9072,patch_x12432_y9408,336,336,0.1429,embargo
patch_x12432_y1680,patch_x12096_y1344,336,336,0.1429,embargo
patch_x12432_y1680,patch_x12432_y1344,0,336,0.3333,embargo
patch_x12432_y1680,patch_x12768_y1344,336,336,0.1429,embargo
patch_x12432_y1680,patch_x12768_y1680,336,0,0.3333,embargo
patch_x12432_y1680,patch_x12768_y2016,336,336,0.1429,embargo
patch_x12432_y2016,patch_x12768_y1680,336,336,0.1429,embargo
patch_x12432_y2016,patch_x12768_y2016,336,0,0.3333,embargo
patch_x12432_y2016,patch_x12768_y2352,336,336,0.1429,embargo
patch_x12432_y2352,patch_x12768_y2016,336,336,0.1429,embargo
patch_x12432_y2352,patch_x12768_y2352,336,0,0.3333,embargo
patch_x12432_y2352,patch_x12768_y2688,336,336,0.1429,embargo
patch_x12432_y2688,patch_x12768_y2352,336,336,0.1429,embargo
patch_x12432_y2688,patch_x12768_y2688,336,0,0.3333,embargo
patch_x12432_y2688,patch_x12768_y3024,336,336,0.1429,embargo
patch_x12432_y3024,patch_x12768_y2688,336,336,0.1429,embargo
patch_x12432_y3024,patch_x12768_y3024,336,0,0.3333,embargo
patch_x12432_y3360,patch_x12768_y3024,336,336,0.1429,embargo
patch_x12432_y4368,patch_x12096_y4704,336,336,0.1429,embargo
patch_x12432_y4368,patch_x12432_y4704,0,336,0.3333,embargo
patch_x12432_y4368,patch_x12768_y4704,336,336,0.1429,embargo
patch_x12432_y8736,patch_x12768_y8736,336,0,0.3333,embargo
patch_x12432_y8736,patch_x12768_y9072,336,336,0.1429,embargo
patch_x12432_y9072,patch_x12096_y9408,336,336,0.1429,embargo
patch_x12432_y9072,patch_x12432_y9408,0,336,0.3333,embargo
patch_x12432_y9072,patch_x12768_y8736,336,336,0.1429,embargo
patch_x12432_y9072,patch_x12768_y9072,336,0,0.3333,embargo
patch_x12432_y9072,patch_x12768_y9408,336,336,0.1429,embargo
patch_x12768_y3360,patch_x12768_y3024,0,336,0.3333,embargo
patch_x12768_y3360,patch_x13104_y3024,336,336,0.1429,embargo
patch_x12768_y4368,patch_x12432_y4704,336,336,0.1429,embargo
patch_x12768_y4368,patch_x12768_y4704,0,336,0.3333,embargo
patch_x12768_y4368,patch_x13104_y4704,336,336,0.1429,embargo
patch_x13104_y3360,patch_x12768_y3024,336,336,0.1429,embargo
patch_x13104_y3360,patch_x13104_y3024,0,336,0.3333,embargo
patch_x13104_y3360,patch_x13440_y3024,336,336,0.1429,embargo
patch_x13104_y4368,patch_x12768_y4704,336,336,0.1429,embargo
patch_x13104_y4368,patch_x13104_y4704,0,336,0.3333,embargo
patch_x13104_y4368,patch_x13440_y4704,336,336,0.1429,embargo
patch_x13440_y3360,patch_x13104_y3024,336,336,0.1429,embargo
patch_x13440_y3360,patch_x13440_y3024,0,336,0.3333,embargo
patch_x13440_y3360,patch_x13776_y3024,336,336,0.1429,embargo
patch_x13440_y4368,patch_x13104_y4704,336,336,0.1429,embargo
patch_x13440_y4368,patch_x13440_y4704,0,336,0.3333,embargo
patch_x13440_y4368,patch_x13776_y4704,336,336,0.1429,embargo
patch_x13776_y3360,patch_x13440_y3024,336,336,0.1429,embargo
patch_x13776_y3360,patch_x13776_y3024,0,336,0.3333,embargo
patch_x13776_y3360,patch_x14112_y3360,336,0,0.3333,embargo
patch_x13776_y3360,patch_x14112_y3696,336,336,0.1429,embargo
patch_x13776_y3696,patch_x14112_y3360,336,336,0.1429,embargo
patch_x13776_y3696,patch_x14112_y3696,336,0,0.3333,embargo
patch_x13776_y3696,patch_x14112_y4032,336,336,0.1429,embargo
patch_x13776_y4032,patch_x14112_y3696,336,336,0.1429,embargo
patch_x13776_y4032,patch_x14112_y4032,336,0,0.3333,embargo
patch_x13776_y4032,patch_x14112_y4368,336,336,0.1429,embargo
patch_x13776_y4368,patch_x13440_y4704,336,336,0.1429,embargo
patch_x13776_y4368,patch_x13776_y4704,0,336,0.3333,embargo
patch_x13776_y4368,patch_x14112_y4032,336,336,0.1429,embargo
patch_x13776_y4368,patch_x14112_y4368,336,0,0.3333,embargo
patch_x13776_y4368,patch_x14112_y4704,336,336,0.1429,embargo
patch_x14112_y1680,patch_x13776_y1344,336,336,0.1429,embargo
patch_x14112_y1680,patch_x13776_y1680,336,0,0.3333,embargo
patch_x14112_y1680,patch_x13776_y2016,336,336,0.1429,embargo
patch_x14112_y1680,patch_x14112_y1344,0,336,0.3333,embargo
patch_x14112_y1680,patch_x14448_y1344,336,336,0.1429,embargo
patch_x14112_y2016,patch_x13776_y1680,336,336,0.1429,embargo
patch_x14112_y2016,patch_x13776_y2016,336,0,0.3333,embargo
patch_x14112_y2016,patch_x13776_y2352,336,336,0.1429,embargo
patch_x14112_y2352,patch_x13776_y2016,336,336,0.1429,embargo
patch_x14112_y2352,patch_x13776_y2352,336,0,0.3333,embargo
patch_x14112_y2352,patch_x13776_y2688,336,336,0.1429,embargo
patch_x14112_y2688,patch_x13776_y2352,336,336,0.1429,embargo
patch_x14112_y2688,patch_x13776_y2688,336,0,0.3333,embargo
patch_x14112_y2688,patch_x13776_y3024,336,336,0.1429,embargo
patch_x14112_y3024,patch_x13776_y2688,336,336,0.1429,embargo
patch_x14112_y3024,patch_x13776_y3024,336,0,0.3333,embargo
patch_x14112_y3024,patch_x14112_y3360,0,336,0.3333,embargo
patch_x14112_y3024,patch_x14448_y3360,336,336,0.1429,embargo
patch_x14448_y1680,patch_x14112_y1344,336,336,0.1429,embargo
patch_x14448_y1680,patch_x14448_y1344,0,336,0.3333,embargo
patch_x14448_y1680,patch_x14784_y1344,336,336,0.1429,embargo
patch_x14448_y3024,patch_x14112_y3360,336,336,0.1429,embargo
patch_x14448_y3024,patch_x14448_y3360,0,336,0.3333,embargo
patch_x14448_y3024,patch_x14784_y3360,336,336,0.1429,embargo
patch_x14784_y1680,patch_x14448_y1344,336,336,0.1429,embargo
patch_x14784_y1680,patch_x14784_y1344,0,336,0.3333,embargo
patch_x14784_y3024,patch_x14448_y3360,336,336,0.1429,embargo
patch_x14784_y3024,patch_x14784_y3360,0,336,0.3333,embargo
patch_x14784_y3024,patch_x15120_y3360,336,336,0.1429,embargo
patch_x15120_y1680,patch_x14784_y1344,336,336,0.1429,embargo
patch_x15120_y3024,patch_x14784_y3360,336,336,0.1429,embargo
patch_x15120_y3024,patch_x15120_y3360,0,336,0.3333,embargo
patch_x15120_y3024,patch_x15456_y3360,336,336,0.1429,embargo
patch_x15456_y3024,patch_x15120_y3360,336,336,0.1429,embargo
patch_x15456_y3024,patch_x15456_y3360,0,336,0.3333,embargo
patch_x15456_y3024,patch_x15792_y3360,336,336,0.1429,embargo
patch_x22176_y16800,patch_x21840_y17136,336,336,0.1429,embargo
patch_x22176_y17136,patch_x21840_y17136,336,0,0.3333,embargo
patch_x22176_y17136,patch_x21840_y17472,336,336,0.1429,embargo
patch_x22176_y17136,patch_x22176_y17472,0,336,0.3333,embargo
patch_x22176_y17136,patch_x22512_y17472,336,336,0.1429,embargo
patch_x22176_y20496,patch_x21840_y20160,336,336,0.1429,embargo
patch_x22176_y20496,patch_x22176_y20160,0,336,0.3333,embargo
patch_x22176_y20496,patch_x22512_y20160,336,336,0.1429,embargo
patch_x22512_y17136,patch_x22176_y17472,336,336,0.1429,embargo
patch_x22512_y17136,patch_x22512_y17472,0,336,0.3333,embargo
patch_x22512_y17136,patch_x22848_y17472,336,336,0.1429,embargo
patch_x22512_y20496,patch_x22176_y20160,336,336,0.1429,embargo
patch_x22512_y20496,patch_x22512_y20160,0,336,0.3333,embargo
patch_x22512_y20496,patch_x22848_y20160,336,336,0.1429,embargo
patch_x22848_y17136,patch_x22512_y17472,336,336,0.1429,embargo
patch_x22848_y17136,patch_x22848_y17472,0,336,0.3333,embargo
patch_x22848_y17136,patch_x23184_y17472,336,336,0.1429,embargo
patch_x22848_y20496,patch_x22512_y20160,336,336,0.1429,embargo
patch_x22848_y20496,patch_x22848_y20160,0,336,0.3333,embargo
patch_x22848_y20496,patch_x23184_y20160,336,336,0.1429,embargo
patch_x23184_y16800,patch_x23520_y16800,336,0,0.3333,embargo
patch_x23184_y16800,patch_x23520_y17136,336,336,0.1429,embargo
patch_x23184_y17136,patch_x22848_y17472,336,336,0.1429,embargo
patch_x23184_y17136,patch_x23184_y17472,0,336,0.3333,embargo
patch_x23184_y17136,patch_x23520_y16800,336,336,0.1429,embargo
patch_x23184_y17136,patch_x23520_y17136,336,0,0.3333,embargo
patch_x23184_y17136,patch_x23520_y17472,336,336,0.1429,embargo
patch_x25200_y1008,patch_x24864_y1008,336,0,0.3333,embargo
patch_x25200_y1008,patch_x24864_y1344,336,336,0.1429,embargo
patch_x25200_y1008,patch_x24864_y672,336,336,0.1429,embargo
patch_x25200_y1344,patch_x24864_y1008,336,336,0.1429,embargo
patch_x25200_y1344,patch_x24864_y1344,336,0,0.3333,embargo
patch_x25200_y672,patch_x24864_y1008,336,336,0.1429,embargo
patch_x25200_y672,patch_x24864_y672,336,0,0.3333,embargo
patch_x3360_y12768,patch_x3024_y12432,336,336,0.1429,embargo
patch_x3360_y12768,patch_x3024_y12768,336,0,0.3333,embargo
patch_x3360_y12768,patch_x3024_y13104,336,336,0.1429,embargo
patch_x3360_y12768,patch_x3360_y12432,0,336,0.3333,embargo
patch_x3360_y12768,patch_x3696_y12432,336,336,0.1429,embargo
patch_x3360_y13104,patch_x3024_y12768,336,336,0.1429,embargo
patch_x3360_y13104,patch_x3024_y13104,336,0,0.3333,embargo
patch_x3360_y13104,patch_x3024_y13440,336,336,0.1429,embargo
patch_x3360_y13440,patch_x3024_y13104,336,336,0.1429,embargo
patch_x3360_y13440,patch_x3024_y13440,336,0,0.3333,embargo
patch_x3360_y13440,patch_x3024_y13776,336,336,0.1429,embargo
patch_x3360_y13776,patch_x3024_y13440,336,336,0.1429,embargo
patch_x3360_y13776,patch_x3024_y13776,336,0,0.3333,embargo
patch_x3360_y13776,patch_x3024_y14112,336,336,0.1429,embargo
patch_x3360_y13776,patch_x3360_y14112,0,336,0.3333,embargo
patch_x3360_y13776,patch_x3696_y14112,336,336,0.1429,embargo
patch_x3696_y12768,patch_x3360_y12432,336,336,0.1429,embargo
patch_x3696_y12768,patch_x3696_y12432,0,336,0.3333,embargo
patch_x3696_y12768,patch_x4032_y12432,336,336,0.1429,embargo
patch_x3696_y13776,patch_x3360_y14112,336,336,0.1429,embargo
patch_x3696_y13776,patch_x3696_y14112,0,336,0.3333,embargo
patch_x3696_y13776,patch_x4032_y14112,336,336,0.1429,embargo
patch_x4032_y12768,patch_x3696_y12432,336,336,0.1429,embargo
patch_x4032_y12768,patch_x4032_y12432,0,336,0.3333,embargo
patch_x4032_y12768,patch_x4368_y12432,336,336,0.1429,embargo
patch_x4032_y13776,patch_x3696_y14112,336,336,0.1429,embargo
patch_x4032_y13776,patch_x4032_y14112,0,336,0.3333,embargo
patch_x4032_y13776,patch_x4368_y14112,336,336,0.1429,embargo
patch_x4368_y12768,patch_x4032_y12432,336,336,0.1429,embargo
patch_x4368_y12768,patch_x4368_y12432,0,336,0.3333,embargo
patch_x4368_y12768,patch_x4704_y12432,336,336,0.1429,embargo
patch_x4368_y12768,patch_x4704_y12768,336,0,0.3333,embargo
patch_x4368_y12768,patch_x4704_y13104,336,336,0.1429,embargo
patch_x4368_y13104,patch_x4704_y12768,336,336,0.1429,embargo
patch_x4368_y13104,patch_x4704_y13104,336,0,0.3333,embargo
patch_x4368_y13104,patch_x4704_y13440,336,336,0.1429,embargo
patch_x4368_y13440,patch_x4704_y13104,336,336,0.1429,embargo
patch_x4368_y13440,patch_x4704_y13440,336,0,0.3333,embargo
patch_x4368_y13440,patch_x4704_y13776,336,336,0.1429,embargo
patch_x4368_y13776,patch_x4032_y14112,336,336,0.1429,embargo
patch_x4368_y13776,patch_x4368_y14112,0,336,0.3333,embargo
patch_x4368_y13776,patch_x4704_y13440,336,336,0.1429,embargo
patch_x4368_y13776,patch_x4704_y13776,336,0,0.3333,embargo
patch_x4368_y13776,patch_x4704_y14112,336,336,0.1429,embargo
patch_x6384_y12768,patch_x6048_y12432,336,336,0.1429,embargo
patch_x6384_y12768,patch_x6048_y12768,336,0,0.3333,embargo
patch_x6384_y12768,patch_x6048_y13104,336,336,0.1429,embargo
patch_x6384_y12768,patch_x6384_y12432,0,336,0.3333,embargo
patch_x6384_y12768,patch_x6720_y12432,336,336,0.1429,embargo
patch_x6384_y13104,patch_x6048_y12768,336,336,0.1429,embargo
patch_x6384_y13104,patch_x6048_y13104,336,0,0.3333,embargo
patch_x6384_y13104,patch_x6048_y13440,336,336,0.1429,embargo
patch_x6384_y13440,patch_x6048_y13104,336,336,0.1429,embargo
patch_x6384_y13440,patch_x6048_y13440,336,0,0.3333,embargo
patch_x6384_y13440,patch_x6048_y13776,336,336,0.1429,embargo
patch_x6384_y13776,patch_x6048_y13440,336,336,0.1429,embargo
patch_x6384_y13776,patch_x6048_y13776,336,0,0.3333,embargo
patch_x6384_y13776,patch_x6048_y14112,336,336,0.1429,embargo
patch_x6384_y14112,patch_x6048_y13776,336,336,0.1429,embargo
patch_x6384_y14112,patch_x6048_y14112,336,0,0.3333,embargo
patch_x6384_y14112,patch_x6048_y14448,336,336,0.1429,embargo
patch_x6384_y14448,patch_x6048_y14112,336,336,0.1429,embargo
patch_x6384_y14448,patch_x6048_y14448,336,0,0.3333,embargo
patch_x6384_y14448,patch_x6048_y14784,336,336,0.1429,embargo
patch_x6384_y14784,patch_x6048_y14448,336,336,0.1429,embargo
patch_x6384_y14784,patch_x6048_y14784,336,0,0.3333,embargo
patch_x6384_y14784,patch_x6048_y15120,336,336,0.1429,embargo
patch_x6384_y15120,patch_x6048_y14784,336,336,0.1429,embargo
patch_x6384_y15120,patch_x6048_y15120,336,0,0.3333,embargo
patch_x6384_y15120,patch_x6048_y15456,336,336,0.1429,embargo
patch_x6384_y15456,patch_x6048_y15120,336,336,0.1429,embargo
patch_x6384_y15456,patch_x6048_y15456,336,0,0.3333,embargo
patch_x6384_y15456,patch_x6048_y15792,336,336,0.1429,embargo
patch_x6384_y15456,patch_x6384_y15792,0,336,0.3333,embargo
patch_x6384_y15456,patch_x6720_y15792,336,336,0.1429,embargo
patch_x6720_y12768,patch_x6384_y12432,336,336,0.1429,embargo
patch_x6720_y12768,patch_x6720_y12432,0,336,0.3333,embargo
patch_x6720_y12768,patch_x7056_y12432,336,336,0.1429,embargo
patch_x6720_y15456,patch_x6384_y15792,336,336,0.1429,embargo
patch_x6720_y15456,patch_x6720_y15792,0,336,0.3333,embargo
patch_x6720_y15456,patch_x7056_y15792,336,336,0.1429,embargo
patch_x7056_y12768,patch_x6720_y12432,336,336,0.1429,embargo
patch_x7056_y12768,patch_x7056_y12432,0,336,0.3333,embargo
patch_x7056_y12768,patch_x7392_y12432,336,336,0.1429,embargo
patch_x7056_y15456,patch_x6720_y15792,336,336,0.1429,embargo
patch_x7056_y15456,patch_x7056_y15792,0,336,0.3333,embargo
patch_x7056_y15456,patch_x7392_y15792,336,336,0.1429,embargo
patch_x7392_y12768,patch_x7056_y12432,336,336,0.1429,embargo
patch_x7392_y12768,patch_x7392_y12432,0,336,0.3333,embargo
patch_x7392_y12768,patch_x7728_y12432,336,336,0.1429,embargo
patch_x7392_y15456,patch_x7056_y15792,336,336,0.1429,embargo
patch_x7392_y15456,patch_x7392_y15792,0,336,0.3333,embargo
patch_x7392_y15456,patch_x7728_y15792,336,336,0.1429,embargo
patch_x7728_y12768,patch_x7392_y12432,336,336,0.1429,embargo
patch_x7728_y12768,patch_x7728_y12432,0,336,0.3333,embargo
patch_x7728_y12768,patch_x8064_y12432,336,336,0.1429,embargo
patch_x7728_y12768,patch_x8064_y12768,336,0,0.3333,embargo
patch_x7728_y12768,patch_x8064_y13104,336,336,0.1429,embargo
patch_x7728_y13104,patch_x8064_y12768,336,336,0.1429,embargo
patch_x7728_y13104,patch_x8064_y13104,336,0,0.3333,embargo
patch_x7728_y13104,patch_x8064_y13440,336,336,0.1429,embargo
patch_x7728_y13440,patch_x8064_y13104,336,336,0.1429,embargo
patch_x7728_y13440,patch_x8064_y13440,336,0,0.3333,embargo
patch_x7728_y13440,patch_x8064_y13776,336,336,0.1429,embargo
patch_x7728_y13776,patch_x8064_y13440,336,336,0.1429,embargo
patch_x7728_y13776,patch_x8064_y13776,336,0,0.3333,embargo
patch_x7728_y13776,patch_x8064_y14112,336,336,0.1429,embargo
patch_x7728_y14112,patch_x8064_y13776,336,336,0.1429,embargo
patch_x7728_y14112,patch_x8064_y14112,336,0,0.3333,embargo
patch_x7728_y14112,patch_x8064_y14448,336,336,0.1429,embargo
patch_x7728_y14448,patch_x8064_y14112,336,336,0.1429,embargo
patch_x7728_y14448,patch_x8064_y14448,336,0,0.3333,embargo
patch_x7728_y14448,patch_x8064_y14784,336,336,0.1429,embargo
patch_x7728_y14784,patch_x8064_y14448,336,336,0.1429,embargo
patch_x7728_y14784,patch_x8064_y14784,336,0,0.3333,embargo
patch_x7728_y14784,patch_x8064_y15120,336,336,0.1429,embargo
patch_x7728_y15120,patch_x8064_y14784,336,336,0.1429,embargo
patch_x7728_y15120,patch_x8064_y15120,336,0,0.3333,embargo
patch_x7728_y15120,patch_x8064_y15456,336,336,0.1429,embargo
patch_x7728_y15456,patch_x7392_y15792,336,336,0.1429,embargo
patch_x7728_y15456,patch_x7728_y15792,0,336,0.3333,embargo
patch_x7728_y15456,patch_x8064_y15120,336,336,0.1429,embargo
patch_x7728_y15456,patch_x8064_y15456,336,0,0.3333,embargo
patch_x7728_y15456,patch_x8064_y15792,336,336,0.1429,embargo
patch_x9408_y17472,patch_x9072_y17136,336,336,0.1429,embargo
patch_x9408_y17472,patch_x9072_y17472,336,0,0.3333,embargo
patch_x9408_y17472,patch_x9072_y17808,336,336,0.1429,embargo
patch_x9408_y17472,patch_x9408_y17136,0,336,0.3333,embargo
patch_x9408_y17472,patch_x9744_y17136,336,336,0.1429,embargo
patch_x9408_y17808,patch_x9072_y17472,336,336,0.1429,embargo
patch_x9408_y17808,patch_x9072_y17808,336,0,0.3333,embargo
patch_x9408_y17808,patch_x9072_y18144,336,336,0.1429,embargo
patch_x9408_y18144,patch_x9072_y17808,336,336,0.1429,embargo
patch_x9408_y18144,patch_x9072_y18144,336,0,0.3333,embargo
patch_x9408_y18144,patch_x9072_y18480,336,336,0.1429,embargo
patch_x9408_y18480,patch_x9072_y18144,336,336,0.1429,embargo
patch_x9408_y18480,patch_x9072_y18480,336,0,0.3333,embargo
patch_x9408_y18480,patch_x9072_y18816,336,336,0.1429,embargo
patch_x9408_y18480,patch_x9408_y18816,0,336,0.3333,embargo
patch_x9408_y18480,patch_x9744_y18816,336,336,0.1429,embargo
patch_x9744_y17472,patch_x10080_y17136,336,336,0.1429,embargo
patch_x9744_y17472,patch_x9408_y17136,336,336,0.1429,embargo
patch_x9744_y17472,patch_x9744_y17136,0,336,0.3333,embargo
patch_x9744_y18480,patch_x10080_y18816,336,336,0.1429,embargo
patch_x9744_y18480,patch_x9408_y18816,336,336,0.1429,embargo
patch_x9744_y18480,patch_x9744_y18816,0,336,0.3333,embargo
patch_x10304_y25088,patch_x10304_y24640,0,448,0.3333,embargo
patch_x10304_y25088,patch_x10752_y24640,448,448,0.1429,embargo
patch_x10304_y25088,patch_x9856_y24640,448,448,0.1429,embargo
patch_x10304_y26432,patch_x10304_y26880,0,448,0.3333,embargo
patch_x10304_y26432,patch_x10752_y26880,448,448,0.1429,embargo
patch_x10304_y26432,patch_x9856_y26880,448,448,0.1429,embargo
patch_x10752_y25088,patch_x10304_y24640,448,448,0.1429,embargo
patch_x10752_y25088,patch_x10752_y24640,0,448,0.3333,embargo
patch_x10752_y25088,patch_x11200_y24640,448,448,0.1429,embargo
patch_x10752_y25088,patch_x11200_y25088,448,0,0.3333,embargo
patch_x10752_y25088,patch_x11200_y25536,448,448,0.1429,embargo
patch_x10752_y25536,patch_x11200_y25088,448,448,0.1429,embargo
patch_x10752_y25536,patch_x11200_y25536,448,0,0.3333,embargo
patch_x10752_y25536,patch_x11200_y25984,448,448,0.1429,embargo
patch_x10752_y25984,patch_x11200_y25536,448,448,0.1429,embargo
patch_x10752_y25984,patch_x11200_y25984,448,0,0.3333,embargo
patch_x10752_y25984,patch_x11200_y26432,448,448,0.1429,embargo
patch_x10752_y26432,patch_x10304_y26880,448,448,0.1429,embargo
patch_x10752_y26432,patch_x10752_y26880,0,448,0.3333,embargo
patch_x10752_y26432,patch_x11200_y25984,448,448,0.1429,embargo
patch_x10752_y26432,patch_x11200_y26432,448,0,0.3333,embargo
patch_x10752_y26432,patch_x11200_y26880,448,448,0.1429,embargo
patch_x11200_y10304,patch_x10752_y10304,448,0,0.3333,embargo
patch_x11200_y10304,patch_x10752_y10752,448,448,0.1429,embargo
patch_x11200_y10304,patch_x10752_y9856,448,448,0.1429,embargo
patch_x11200_y17472,patch_x10752_y17024,448,448,0.1429,embargo
patch_x11200_y17472,patch_x10752_y17472,448,0,0.3333,embargo
patch_x11200_y17472,patch_x10752_y17920,448,448,0.1429,embargo
patch_x11200_y17472,patch_x11200_y17024,0,448,0.3333,embargo
patch_x11200_y17472,patch_x11648_y17024,448,448,0.1429,embargo
patch_x11200_y17920,patch_x10752_y17472,448,448,0.1429,embargo
patch_x11200_y17920,patch_x10752_y17920,448,0,0.3333,embargo
patch_x11200_y17920,patch_x10752_y18368,448,448,0.1429,embargo
patch_x11200_y18368,patch_x10752_y17920,448,448,0.1429,embargo
patch_x11200_y18368,patch_x10752_y18368,448,0,0.3333,embargo
patch_x11200_y18368,patch_x10752_y18816,448,448,0.1429,embargo
patch_x11200_y18368,patch_x11200_y18816,0,448,0.3333,embargo
patch_x11200_y18368,patch_x11648_y18816,448,448,0.1429,embargo
patch_x11200_y37632,patch_x10752_y37184,448,448,0.1429,embargo
patch_x11200_y37632,patch_x10752_y37632,448,0,0.3333,embargo
patch_x11200_y37632,patch_x10752_y38080,448,448,0.1429,embargo
patch_x11200_y37632,patch_x11200_y37184,0,448,0.3333,embargo
patch_x11200_y37632,patch_x11648_y37184,448,448,0.1429,embargo
patch_x11200_y38080,patch_x10752_y37632,448,448,0.1429,embargo
patch_x11200_y38080,patch_x10752_y38080,448,0,0.3333,embargo
patch_x11200_y38080,patch_x10752_y38528,448,448,0.1429,embargo
patch_x11200_y38528,patch_x10752_y38080,448,448,0.1429,embargo
patch_x11200_y38528,patch_x10752_y38528,448,0,0.3333,embargo
patch_x11200_y38528,patch_x10752_y38976,448,448,0.1429,embargo
patch_x11200_y38976,patch_x10752_y38528,448,448,0.1429,embargo
patch_x11200_y38976,patch_x10752_y38976,448,0,0.3333,embargo
patch_x11200_y38976,patch_x10752_y39424,448,448,0.1429,embargo
patch_x11200_y38976,patch_x11200_y39424,0,448,0.3333,embargo
patch_x11200_y38976,patch_x11648_y39424,448,448,0.1429,embargo
patch_x11200_y9408,patch_x10752_y8960,448,448,0.1429,embargo
patch_x11200_y9408,patch_x10752_y9408,448,0,0.3333,embargo
patch_x11200_y9408,patch_x10752_y9856,448,448,0.1429,embargo
patch_x11200_y9408,patch_x11200_y8960,0,448,0.3333,embargo
