patch_id,tls,tgfb,emt,hypoxia,mhc,icp,ifng,toxic
patch_x7329_y16745,-1215.4021847070517,2372.951892309391,2133.320981679921,2351.148234275559,8945.993381501296,-3584.85291845967,-3277.417852808121,-1582.1902239876426
patch_x6209_y8457,-1651.0463422707726,3242.1549903280993,-195.5647136709722,-786.1167760798799,2607.6438144614203,-3895.122255323845,-3606.693478980471,-2007.9977932252023
patch_x13937_y8121,-1112.3680900364116,2520.8341608738847,451.81617565927263,-188.9521045953552,3439.6897027191008,-3508.994483063004,-3198.058258854682,-1484.1577843981004
patch_x2289_y10249,-2203.2290632240974,1838.8184814486067,-860.117952112987,4572.513205357682,8970.994760355194,-4276.248372503586,-4011.4940968774135,-2532.6714112324826
patch_x11697_y12713,-1867.6180072823572,1418.3026591636335,1268.7565316780529,2727.049012407275,2274.6254481275173,-4043.6714112324844,-1117.7533738127086,-2212.0653205340413
patch_x13601_y8009,-1109.367096987754,2525.168928610836,455.15061238000635,-185.75122193413154,3443.6899233357235,-3506.8270991945265,-3196.7244841663924,-1481.6569568575524
patch_x10801_y14169,-2055.513516495642,5435.784229203156,-669.0547280150058,2421.545521236012,8966.994539738569,-4175.048218029351,-3904.625399977932,-2385.122586340064
patch_x5537_y11705,-2099.027915701203,1078.1901136489032,-730.5750855125225,4965.551113875466,7800.9302299928295,-4207.225532384419,-1069.6578717269094,-2432.6383096105055
patch_x13713_y8681,-1129.8738828202586,2495.4924417963175,430.9759461546928,1299.9366689467151,3412.688213556892,-3523.832726470265,-3214.396998786274,-1501.1634116738378
patch_x6209_y16297,-1187.0594725808223,2408.463643385192,4011.441587684356,-270.9747227892094,3323.683304837019,-3559.67792121814,-3254.5769612711038,-1555.8481738938544
patch_x9121_y9689,-2048.511199382103,1141.7111331788583,-672.3891647357395,4311.920044761644,8881.98985163532,-4162.710802162639,-3888.286660046342,-2388.9571885689074
patch_x6993_y9353,-1780.9226525433069,3291.887686959397,-348.44863731656187,1608.1394873257104,9003.996580442335,-3979.3167825223427,-3700.3911508330575,-2127.5373496634656
patch_x3521_y12601,-1815.2673507668542,2645.88466753349,-390.9627055059027,2444.1469534436164,8266.955931829463,-4004.991945271984,-3718.397109125014,-2158.7143330023173
patch_x10689_y3641,-1102.364779874214,2534.1719077568123,463.3199823457999,-178.14912561372512,3453.6904748772813,-3502.4923314575753,-3191.7228290852927,-1475.1548052521239
patch_x11585_y5097,-1108.0333222994595,2526.8361469712017,456.8178307403741,-184.55089093617244,3445.690033644036,-3507.327264702638,-3196.8912060024277,-1480.489904005296
patch_x11137_y15289,-1417.6357718194877,2074.3530839677805,85.86174555886282,3054.5242364135793,2959.6632287242846,-3723.56548604215,-3423.2994593401763,-1780.9226525433078
patch_x10017_y17977,-1866.2842325940628,1429.6397440141245,-439.4787597925624,5223.960804161468,8108.947217472836,-4043.8381330685206,-3762.4116738386856,-2201.061679355622
patch_x4081_y16185,-1257.2493655522467,2311.9317003199812,2096.684825634993,-349.59640315551405,3210.6770724174075,-3614.0292397660833,-3310.262054507337,-1625.7046231932027
patch_x9121_y18761,-1450.4799735187016,2690.694143160783,50.68343815513799,2044.7026129393216,2919.66102255805,-3744.5724373827643,-3444.8065761888993,-1802.4297693920334
patch_x11473_y14729,-1433.6410680790013,2063.6828864614363,70.69005847953122,-540.2489766646449,2954.6629529535057,-3738.9038949575197,-3440.138364779873,-1791.7595718856883
patch_x7665_y19321,-1926.1373717312126,3002.3809502803288,-520.5055721063654,4845.92406457256,2159.6191053995917,-4071.01379234249,-3787.2532274081423,-2258.9141564603324
patch_x9793_y19097,-2068.851263378572,1115.2023612490357,-690.3951230276944,5790.856310634994,1931.6065302520547,-4166.878848063556,-3889.6204347346347,-2399.627386075251
patch_x8673_y14505,-1917.3011144212733,1329.773364228182,5203.934298906877,3635.531784575871,8052.9441288401085,-4076.6823347677373,-1806.3108086243165,-2260.0812093125887
patch_x10801_y10249,-1246.2457243738272,2331.2714333002314,292.763544080326,123.14454816825491,3237.6785615796143,-3605.1929824561403,-3298.9249696568477,-1613.3672073264925
patch_x2177_y10137,-2045.176762661371,1152.04788701313,1186.7943655628133,4582.132061006245,8900.990899564282,-4168.3793445878855,-1299.275907235553,-2384.7891426679907
patch_x22337_y17529,-1758.415204678363,4135.384376744318,2250.559512569591,-896.1471175594406,8992.995973746622,-3963.811651770936,-3679.05075582037,-322.1458419487826
patch_x2849_y10025,-1725.237559307071,3221.3464220551796,-275.7579168045904,-860.1371876206777,8257.95543544206,-3936.6359924969647,-3644.7060575968235,619.6276863012499
patch_x9009_y12041,-1827.6047666335662,2613.7339435781105,-405.9676707491999,2696.9466729881333,8803.985549611163,-4002.491117731435,-1481.3991999104792,-2166.55025929604
patch_x6881_y12601,-2118.7010923535236,3213.6332447301556,-753.9161425576513,-1314.4624703481022,7795.929954222051,-4200.890102615029,-1056.94116304402,-2444.475559969107
patch_x5201_y17865,-1590.1928721174,1832.439699878627,-116.87200706168005,2800.4134245464793,2719.6499917268775,-3839.1037184155357,-3544.839677810879,-1934.6401853690832
patch_x5313_y16745,-1145.712457243737,4258.985900431506,2191.843386444518,-228.96313786065002,9061.999779383377,-3532.0020964360574,-1710.514321037901,-1517.8355952775
patch_x4753_y16633,786.1266308736976,2448.1434403619114,2186.721612800269,-244.56744083411468,9051.999227841818,-3544.839677810879,-3236.7377248151824,-1532.1736731766523
patch_x9009_y14841,-1949.9785942844546,2179.229939786768,1331.782156187057,6085.599586469345,8744.982295515967,-4094.1881275515843,-3816.4295487145555,-2286.756703078452
patch_x7665_y16297,-1295.2619441685965,2257.7471036080806,2008.2748298403567,-391.80804325039753,3154.673983784678,-866.8934420516507,-525.1110298660205,-1656.3814410239447
patch_x3073_y10361,-1818.601787487588,2348.9493161014016,-387.4615469491346,2452.488406930228,9010.996966521427,-4014.3283680900367,-1063.532460995365,-796.4257669747003
patch_x7553_y16409,-1274.921880172129,2280.587995145095,2026.1606990188866,-371.60247145142785,8868.989134631294,1707.6786730510212,-3318.431424473133,-1638.8756482400986
patch_x3633_y7337,-1280.7571444334098,2268.417301114423,249.249144874766,-376.8039057759124,3165.674590480392,-3623.6991062562047,-3320.932252013682,-1651.0463422707699
patch_x10801_y18649,-1967.8178307403714,3227.457374519643,1487.5783644697349,-1143.2152479726374,8652.977221333627,-4100.523557320976,-3818.9303762551017,-2301.7616683217475
patch_x6657_y16745,-1187.5596380889347,2412.2982456140344,362.1198278715656,-275.17588128206626,3317.682973912084,-3561.0116959064326,-3253.076464746774,-1554.3476773695265
patch_x8673_y13497,-602.6927299778927,5165.4750728714625,1927.3617721707888,-534.8474871738272,8740.982074899344,-3714.729228732207,-649.0547299169612,-1777.0880503144654
patch_x7665_y8681,-1402.1306410680809,2107.030563830962,106.86869689948071,-505.63943289016424,3002.665600352986,-3715.3961160763556,-3419.464857111332,-1766.7512964801963
patch_x3521_y16969,-1577.6887344146526,3620.3737118286463,-100.19982345801691,-698.4926132288838,8538.97093375986,-3839.9373275957196,-3547.1737835153926,-1929.30508661591
patch_x10129_y11929,-2328.7706057596815,5180.541006777121,-1000.8311817279036,2245.899085241401,8457.966466273234,-2781.7597414520105,-4086.685644929935,-2646.375703409467
patch_x5201_y14393,-2046.8439810217378,1154.8821582257551,-660.2184707050637,1245.8996536147042,7928.937289724781,-2555.674256677865,-3868.6134833940187,-2365.4494096877415
patch_x14609_y23129,-1108.7002096436063,2522.501379234249,455.15061238000635,-185.35111160147972,3442.6898681815674,-3505.9934900143444,-3195.390709478099,-1481.4902350215161
patch_x13937_y5097,-1138.7101401302007,2479.6538673728337,420.639192320421,-217.76004854636813,3394.687220782085,-3526.500275846851,-3216.230938982678,-1510.1663908198188
patch_x11361_y5545,-1137.7098091139778,2481.3210857332015,420.13902681231593,-217.15988304738858,3401.6876068611764,-3525.666666666665,-3216.0642171466407,-1508.8326161315217
patch_x6657_y7785,-1150.2139468167288,2472.318106587223,408.9686637978575,-226.96258619738728,3392.6871104737747,-3540.338188237891,-3232.069513406157,-1521.3367538342718
patch_x10801_y14505,-1937.4744565817073,2884.4054564369526,1196.9766158728944,2555.852748322797,8706.980199658045,-4096.022067747987,-3817.0964360587004,-2275.9197837360716
patch_x6769_y9577,-1767.91834933245,3582.7107268849286,3385.143278417723,3895.4306479733787,8859.98863824389,-3972.647909080878,-3686.5532384420176,-2114.199602780537
patch_x9793_y9913,-1807.9315899812427,2235.111900986629,1352.0104924338048,1856.4532181505,8721.981026970383,-4012.1609842215594,-1066.1278797268797,-2153.379234249145
patch_x15057_y4761,-1121.2043473463536,2509.9972415315024,441.81286549707875,3523.234540222187,3427.689040869229,-3516.99713119276,-3206.8945161646243,-1492.6605980359673
patch_x2961_y14505,389.8537058396123,1926.6375372393231,1860.1083818108273,-635.4752358360474,8597.974187855054,-3780.4176321306422,-3482.98587664129,-1863.4499613814432
patch_x5649_y11593,-2054.679907315458,2449.6051180874183,1034.4699001221816,1516.8072873500387,8832.987149081684,-4176.0485490455685,-1049.6943112014214,-2385.956195520246
patch_x8001_y17865,-1405.4650777888119,2085.190003310161,101.53359814630858,3073.8494963649227,2966.663614803376,-3710.561182831292,-3407.6276067527306,-1763.750303431536
patch_x5537_y14729,-2454.979035639414,1356.9279674910176,-1157.5497076023394,4522.820716442491,7212.897799349179,-4433.300342050093,-4173.214277832946,-2765.08165066755
patch_x7441_y19993,-1910.132075471698,2216.2338410778575,-497.6646805693472,2690.8802900648298,8082.945783464784,-4054.1748869027906,-3769.413990952222,-2236.2399867593485
patch_x5761_y13497,-2084.356394129978,2421.7245660534154,1321.2109156121714,3412.71436899909,1903.60498593569,-4180.883482290631,-3908.6267240428106,-2412.4649674500715
patch_x7329_y18761,-2255.4129979035642,4753.281570435784,-911.6349994483062,5050.04365198163,1630.5899288511391,-4308.25896502262,-4039.5033653315686,-2569.016771488469
patch_x6545_y12937,-1564.6844312037965,1857.9481407922285,-82.19386516606028,3073.108197925141,8946.993436655452,-3821.097760123581,-3521.331898929714,-1917.4678362573104
patch_x7553_y18985,-1978.154584574645,2558.8237074360695,-572.6895067858331,7020.7853658806,2094.6155203794606,-4105.025046893965,-3824.0987531722385,-2306.0964360586995
patch_x4641_y18649,-1246.9126117179749,2328.9373275957187,294.7642061127681,-334.1921553483735,3233.6783409629916,-3603.192320423701,-3295.757254772151,-1610.8663797859426
patch_x6433_y11033,-1577.188568906542,1847.4446651219241,-100.53326713008755,-702.0936062227611,8992.995973746622,-3838.7702747434632,-3546.0067306631354,-1934.8069072051176
patch_x3073_y11481,-2298.593953437051,6745.243833148854,2423.3860280721146,5531.172416229436,9022.997628371299,-4317.09522233256,-4052.841112214498,-2624.0349773805574
patch_x6881_y10361,-1669.2190223987645,2539.7087738171776,-212.90378461878208,748.5000423092679,8449.966025039987,-3896.4560300121384,-1133.39527620024,-2019.1681562396552
patch_x10689_y17305,-1512.8339401964022,2746.3693322090367,-25.008275405492896,-635.2751806697179,2808.654900446749,-3785.2525653757048,-1100.5834478017778,-1865.9507889219913
patch_x13377_y5993,-1112.3680900364116,2521.5010482180314,452.31634116738314,-187.951828763722,3440.689757873255,-3510.4949795873335,-3199.3920335429766,-1484.3245062341402
patch_x11809_y13721,-1908.1314134392578,1370.786935893193,1385.6877000587974,2597.4415260127516,8908.99134079753,-4067.67935562176,-3781.4179631468605,-2242.908860200817
patch_x7217_y9017,-1536.8418845856786,3651.627044243556,-56.01853690830649,-661.4824074584885,2767.652639126358,-3802.925079995586,-3512.1621979476986,-1890.6256206554126
patch_x9569_y19321,-2029.0047445658165,2342.5568084045335,-629.3749310382864,-1201.231246207316,2008.6107771220559,-4145.87189672294,-3869.4470925742025,-1513.4005350755278
patch_x12257_y4313,-1178.890102615028,2422.634999448308,372.4565817058374,-261.5721299718625,3337.6840769952014,-3555.009709809113,-403.2421033317896,-1548.1789694361678
patch_x4753_y10137,-1304.2649233145758,2249.911177314356,226.40825333774774,3243.2749969178676,3153.673928630522,-3645.873110449078,-3341.1055941741142,-1667.2183603663243
patch_x5089_y11257,-1931.4724704843884,2197.1144282799996,-516.670969877523,-1086.9997462348956,8092.946335006343,-4084.851704733531,-1169.6906237058738,-2258.2472691161865
patch_x10801_y11593,-2267.0835264261304,3337.803292959092,3048.297548292834,1703.0555265563235,8537.970878605704,-4301.089926073045,726.0275335488841,-2588.189782632682
patch_x12817_y2073,-1146.5460664239217,2469.3171135385655,410.1357166501184,-227.562751696365,3388.68688985715,-3530.168156239656,-3220.732428555666,-1517.3354297693922
patch_x8113_y13945,-2161.3818823789034,2859.3826283269973,1231.1948270501125,3325.028066627465,9044.998841762726,-4237.902350215161,69.80014886998106,-2489.9906212071055
patch_x3857_y8345,-1742.0764647467722,1608.1988304093557,-298.7655301776467,2570.935972466237,8312.958468920633,-3950.140461215933,-3662.378572216706,-2083.1893412777226
patch_x10129_y18873,-2207.397109125015,2037.0442053292682,-860.7848394571356,1008.745623158853,1697.5936241795825,-4275.914928831514,-4004.991945271986,-2534.005185920777
patch_x3969_y13273,-2112.6991062562074,1056.0161094560299,1423.9432331726202,2519.519565223858,8902.991009872594,-4205.891757696127,-3924.632020302327,-2432.138144102394
patch_x9569_y14953,-2183.88933024385,4605.68229237316,1178.4217330187585,1375.336257119763,8568.972588384535,-4252.907315458457,-3981.484166390821,-2503.3283680900377
patch_x13713_y5545,-1117.2030232814723,2511.164294383758,445.14730221780883,-195.1538147514766,3428.689096023385,-3512.1621979476977,-3202.393026591637,-1489.8263268233468
patch_x9233_y11817,-2065.6835484938756,2435.866428962214,-693.0626724042813,1499.9799902826126,8923.992168109868,-4159.543087277944,-1321.734557013091,-1513.6760285954151
patch_x13377_y3305,-1139.2103056383094,2482.8215822575294,421.1393578285333,-216.1596072157554,3398.68744139871,-3529.167825223436,-3218.231601015116,-1509.332781639634
patch_x9905_y18425,-1417.6357718194868,2069.351428886679,84.02780536246246,-528.6457770177094,2960.663283878441,-3722.56515502593,-3419.63157894737,-1776.4211629703195
patch_x14497_y3193,-1115.7025267571444,2514.8321747765676,448.48173893854255,-192.9532079218843,3430.6892063316973,-3510.1615359152593,-3199.5587553790137,-1486.9920556107236
patch_x2177_y9465,-1856.2809224318653,1442.6440472249815,-435.64415756372,-1012.5792243614496,8852.988252164801,-4038.5030343153467,1058.5159610117953,-855.4333168292906
patch_x10241_y19657,-2073.5194747875967,1878.1568603679661,-698.2310493214154,2384.1161948359913,1926.6062544812758,-4173.214277832945,-3895.2889771598802,-2396.7931148626285
patch_x10353_y5545,-1110.3674280039722,2521.3343263819916,453.1499503475661,-187.75177359739428,3440.689757873255,-3508.8277612269676,-3198.2249806907203,-1483.4908970539564
patch_x3521_y10025,-1696.0612380006614,1686.391371510539,-239.0791128765286,2650.522521182287,8800.985384148695,-3926.46596049873,-2120.224591133562,-2040.3418294163075
patch_x3409_y12377,-2233.572437382765,3072.8370133090793,940.8051058914571,2202.5815937472034,8568.972588384535,-4277.081981683768,-4006.659163632351,-2553.011475228952
patch_x4641_y11145,-1549.6794659604975,1880.9557541652903,2543.8170303696916,-670.4848899431781,2758.652142738956,-3820.4308727794332,-3523.165839126116,-1904.1300893743783
patch_x12481_y14057,-1531.006620324395,1907.6312479311491,-49.01621979477022,-651.8797594748175,8865.988969168828,-3804.592298355953,-3508.994483063004,-1888.958402295044
patch_x7329_y9353,-1492.8273198720062,1963.4830630034194,-3.1677148846974887,-609.4680642136027,2846.6569963046713,-3775.4159770495417,-3480.8184927728125,-1851.1125455147321
patch_x14049_y7785,-1106.5328257751298,2526.6694251351655,457.1512744124466,-183.35055993821516,3447.6901439523463,-3505.493324506233,-3194.557100297913,-1479.3228511530388
patch_x11697_y6105,-1118.87024164184,2513.3316782522343,444.31369303762403,-195.5539250841266,3431.6892614858534,-3516.16352201258,-3206.561072492551,-1490.6599360035316
patch_x9905_y12041,-2490.324064879179,2837.252299449774,-1189.2268564492979,1855.001632392963,8734.98174397441,-4477.815072271874,-4216.561955202471,-2798.5927397109117
patch_x15617_y6777,-1130.7074920004416,2490.32406487918,428.30839677810764,-210.95817289126717,3403.6877171694887,-3521.331898929714,-3212.06289308176,-1502.8306300342056
patch_x5985_y9465,-1456.8154032880957,3790.7539441411136,41.84718084519591,-566.6562586197379,2912.6606364789586,-3758.9105152819157,-3458.811210415978,-1817.768178307405
patch_x8449_y19881,-1361.6172349111766,2932.478090230097,157.71885689065493,2157.729354082354,3043.667861673377,-3684.8860200816507,-3383.9531060355284,-1720.0691823899379
patch_x14609_y4537,-1113.701864724705,2518.500055169372,450.649122807019,-189.95238042698838,3436.6895372566323,-3511.495310603552,-3201.559417411453,-1486.491890102614
patch_x8449_y10137,-1597.5286329030132,4311.90499324307,1795.679769289447,-723.6995641860212,2687.648226793888,-3851.1076906101734,-3555.509875317224,-1944.976939203354
patch_x10129_y13721,-2043.509544301004,2530.6330221429507,3070.0050513911556,2083.7317281371106,8934.992774805582,-4156.041928721174,-1280.6235441158042,-2375.45271984994
patch_x5985_y10361,-1554.6811210415954,1887.4579057707142,-73.3576078561182,846.1856444333025,2758.652142738956,-3824.2654750082747,-3530.001434403619,-1912.7996248482832
patch_x21329_y2297,-1101.8646143661053,2534.838795100959,463.8201478539104,-177.94907044740103,3454.6905300314374,-3502.158887785502,-3191.3893854132175,-1474.9880834160876
patch_x13825_y9017,-1105.1990510868363,2529.3369745117507,459.6521019529937,-181.95017377392833,3447.6901439523463,-3503.659384309831,-3193.3900474456586,-1478.1557983007833
patch_x2625_y15961,-1717.0681893412784,4847.716537762681,5873.919459894969,-859.5370221216963,2491.6374165793386,-3929.800397219463,-3643.7057265806015,-2067.684210526314
patch_x8897_y14617,-2102.5290742579728,2119.1371513798003,991.2281648054304,6002.105677869147,8674.978434725057,-4221.230166611497,-1728.8674594282747,-2437.9734083636768
patch_x5873_y16969,-434.5001406731317,2480.487476553015,420.80591415645904,-217.15988304738858,3398.68744139871,-3527.50060686307,-3218.2316010151153,-1509.6662253117074
patch_x10577_y14169,-1850.6123800066189,1456.315237779987,1462.688438538613,5250.487821753073,9005.996690750648,-4030.333664349553,-3744.4057155467262,-2187.890654308726
patch_x22785_y18537,-1313.267902460555,2226.9035639412978,213.40395012688896,3224.2409736015816,3126.6724394683133,-3649.540990841886,-3345.27364007503,-1678.5554452168171
patch_x13489_y3417,-1130.207326492332,2493.6585015999117,430.9759461546946,-208.15740056269715,3411.688158402736,-3520.8317334216053,-3210.729118393466,-1501.9970208540208
patch_x9233_y10697,-1477.9890764647462,1981.4890212953796,1775.1622260630102,-598.2649748993226,8654.97733164194,-3767.4133289197835,-3467.314024053846,-1836.4410239435074
patch_x6209_y13385,-1692.7268012799286,2789.685705629636,1654.1545017912267,2627.5614080021096,8864.988914014672,-3913.6283791239102,-3621.6984442237663,-2040.841994924419
patch_x5537_y18089,-1498.829305969326,2761.263011399433,-9.83658832616129,-621.4713741931919,8946.993436655452,-3781.2512413108234,-3483.98620765751,-1856.4476442679015
patch_x3409_y12265,-2231.2383316782534,1764.0962385038601,-892.7954319761675,5585.595994019228,8520.969940985053,-4275.414763323403,-4004.6585015999117,-847.9144112078357
patch_x12145_y5321,-1155.2156018978276,2461.814630916917,402.79995586450787,3474.139254229827,3376.68622800728,-3542.5055721063663,-3233.736731766522,-1525.5047997351849
patch_x4529_y8681,-1733.240207436831,4215.970496559425,-287.4284453271557,-875.1413250951609,9037.998455683635,-3941.6376475780644,-3652.5419838905455,-2075.853580492111
patch_x9569_y13721,-2377.119938210306,3353.953094667264,1002.5963603427645,2181.8826215200097,8914.991671722464,-4378.782301666115,-1945.9161094453748,-2709.3965574313142
patch_x21665_y19097,-1628.8723380778993,1770.5858987090378,-160.8865717753506,2738.343382148534,8997.9962495174,-3870.780867262496,-1220.2397996656655,-1978.3213064106803
patch_x10689_y10361,-1496.16175659274,1965.3170031998252,-9.83658832616129,2083.9451549335554,2858.6576581545414,-3776.4163080657627,-3480.6517709367763,-1854.446982235463
patch_x3185_y7897,-1331.6073044245823,3968.225725607066,190.39633675383448,-430.818800684061,3093.6706193811697,-3663.212181396888,-3361.112214498511,-1698.8955092132855
patch_x5201_y13273,-1585.5246607083754,5783.459005926083,1825.904962976978,3009.325313586245,2689.6483371022005,-3839.437162087608,-3543.672624958622,-1933.639854352863
patch_x10913_y16969,-1627.5385633896076,2591.1709906803026,6001.339031920079,2728.1774564676343,2633.645248469473,-3858.1100077237115,-3567.680569347899,-1975.8204788701323
patch_x11809_y16521,-1602.363566148074,5177.584876693489,4101.572115161249,-732.7020466707108,2677.6476752523304,-3857.2763985435286,-841.801668553042,-1949.8118724484157
patch_x11137_y12041,-2083.8562286218703,3133.456295040498,-707.0673066313593,1478.7323525537904,8891.99040317688,-4185.8851373717325,-3910.2939424031783,-2414.1321858104393
patch_x4193_y11929,-1413.6344477546072,2904.824519113741,4568.292108854537,3055.928555954928,2958.6631735701285,-3717.563499944832,-894.9602887959063,-1773.2534480856248
patch_x14273_y2745,-1114.535473904888,2517.333002317113,449.3153481187255,-190.3524907596402,3436.6895372566323,-3511.495310603552,-3201.559417411453,-1486.8253337746874
patch_x14049_y8009,-1117.3697451175094,2511.8311817279027,444.31369303762403,-195.3538699178007,3431.6892614858534,-3513.6626944720274,-3203.893523115965,-1489.326161315238
patch_x13825_y5993,-1114.7021957409233,2516.49939313693,448.3150171025045,-191.95293209025294,3432.6893166400096,-3511.3285887675165,-3201.2259737393797,-1487.3254992827979
patch_x11809_y5321,-1120.0372944940973,2509.3303541873556,442.97991834933055,-197.35442158106707,3424.6888754067622,-3515.6633565044694,-3205.727463312369,-1492.9940417080434
patch_x5649_y8345,-1248.0796645702312,2323.6022288425484,290.92960388392567,-339.39358967286535,8865.988969168828,-3603.859207767847,-3299.925300673065,-1616.8683658832597
patch_x4865_y16297,-1294.094891316343,2243.742469380997,2051.8536474257235,2246.631616392824,3134.6728807015606,-3637.7037404832854,-3334.6034425686867,-1661.2163742690063
patch_x9793_y12825,-1901.7959836698683,4801.953392552998,-489.995476111666,-1073.3959949247,8785.984556836358,-4047.005847953218,-1779.3914690740303,-2235.239655743132
patch_x4417_y16521,-1284.7584684982885,2268.2505792783886,2929.058976307486,3262.0432447019757,8859.98863824389,-3629.7010923535245,-3327.2676817830743,-950.2492590016527
patch_x4529_y14169,-1846.9444996138154,7091.166457597401,4189.745216910444,-1007.5778452032864,9046.998952071039,-4017.162639302658,-3733.068630696236,-2183.889330243849
patch_x8337_y9913,-1574.3542976939207,1857.9481407922303,-94.69800286880854,5359.57779620317,2724.6502674976564,-3848.6068630696236,-3553.675935120821,-1931.3057486483503
patch_x8225_y11257,-2175.719960278053,3156.759851643177,1386.7223426268447,4432.92497826295,8540.97104406817,-4242.070396116077,-1325.1357578847355,-2499.4937658611934
patch_x11585_y13161,-1820.435727683991,3927.347963211678,-397.1314134392578,2716.7056231364313,8960.994208813634,-4015.328699106256,-3732.401743352092,-2166.8837029681117
patch_x2065_y10473,-2283.588988193753,2130.7726938674787,2752.897550777765,3965.681501295632,9010.996966521427,-4315.261282136157,-4050.6737283460225,-2610.030343153482
patch_x6321_y11481,-1948.9782632682336,1291.9275074478646,-547.0143440361899,4907.19316223311,8903.99106502675,-4084.851704733531,-3808.593622420831,-2286.9234249144874
patch_x6769_y11705,-855.2951694403309,3613.1518813085822,-233.91073595939633,2643.4198717545805,9021.997573217142,-3910.627386075251,-3618.5307293390715,-2029.504910073927
patch_x22337_y1737,-1103.3651108904342,2532.171245724372,461.81948582147197,-179.14940144536013,3452.690419723127,-3503.159218801724,-3192.3897164294385,-1476.4885799404155
patch_x8449_y19545,-2097.360697340837,1085.3591525984775,-715.0699547611166,5148.3600928339965,1902.6049307815338,-4197.889109566369,-3923.6316892861087,-2421.801390268124
patch_x8113_y12713,-1484.6579499062127,5187.891439149089,1939.4097470604884,-605.6670160534013,8964.994429430257,-3761.2446209864283,945.5387690738371,-1838.2749641399096
